,text_id,element_position,critic_ids_talking,critics_talking,total_tokens,sentiment_score,tokens_without_sentiment,positive_tokens,positive_sentiment,negative_tokens,negative_sentiment,sentiment_distance,element_text
0,524,0,,,15,0,15,0,0,0,0,0,"Ulrike Draeser aus Berlin beschloss den Klagenfurt Lesereigen. Ihr Auszug aus ""Lück"" schilderte die Kindheit einer Ich-Erzählerin, die immer hinter ihrer kleinen Schwester zurückstehen muss und deren Hassliebe einen Ausweg sucht."
1,524,1,91,Denis Scheck,10,-0.1413,8,1,0.2452,1,-0.3865,0.6317,"""Es ist ein Spiel ums Glück, er habe dieses Spiel gerne gespielt"", so Denis Scheck. Er habe aber auch ein wenig Probleme mit der Kinderperspektive."
2,524,2,79,Iris Radisch,28,0.2179,26,1,0.3553,1,-0.1374,0.4927,"""Schon wieder eine Dreier-Beziehung - Papa, Mama, ich"", war Iris Radisch ein wenig genervt. Der Text sei sehr verdichtet - wie in einem Hochsicherheitstrakt, wo sich alle belauern. Gezeichnet mit viel Todesmetaphorik, ein bisschen zu sauber gebaut. Radisch sehe schon das Ab- und Untergründige einer Kindheit der 60er Jahre, das sei aber zu überdeutlich erzählt. ""Natürlich ist die Idee einer Kindheit, die scheitert, das Urgestein der Literatur - ohne Frage"", befand die Jurorin."
3,524,3,87,Ulrike Längle,28,-0.8291,20,2,0.2458,6,-1.0749,1.3207,"Für Ulrike Längle war der Text in allem zu überdeutlich. Die blöden kleinen Mädchen, die ihre kleinen Schwestern hassen - das sei eine abgedroschene Konstellation, der sie nichts abgewinnen könne. ""Was den Text aber von anderen unterscheidet, das ist die Sprache. Ungeheuer ritualisiert, eine absolute Kunstsprache, die der banalen Kleinbürgergeschichte eine Bedeutung verleiht, die sie nicht hat"", so Längle. ""Ich werde aber davon nicht gefangen genommen, es stößt mich eher ab""."
4,524,4,88,Robert Schindel,31,-0.11949999999999994,26,2,1.004,3,-1.1235,2.1275,"""Wir schreiben immer über die gleichen Themen, aufs wie es gemacht ist, kommt es an - hat schon Chandler gesagt"", meinte Robert Schindel. Er sehe den Versuch einer Entwicklung zur Identität in einem Familienraum. Wenn die Sprache ähnlich funktionieren würde, wie Atmung, dann würden sich die banalen Sachverhalte als Versuch verdeutlichen, aus einer grausame Idylle auszubrechen. ""In der Art wie es dargestellt ist, wird es zu einem gelungen Kabinettstück über Reifeprozess und Abgrenzung"", so Schindel."
5,524,5,90,Elisabeth Bronfen,25,1.0437,18,4,1.3699000000000001,3,-0.32620000000000005,1.6961000000000002,"Elisabeth Bronfen hat die Hassliebe der Schwestern überzeugt . Es sei eine Art Pattsituation, die ""vielleicht banal ist, aber als psychische Situation absolut überzeugt"", meinte Bronfen. ""Durch die Art der Erzählung wird die stille Verzweiflung überzeugend, und die Bedrohung unter der Oberfläche mit einer Bildkette vieler kleiner Details deutlich""."
6,524,6,79|83,Iris Radisch|Hardy Ruoss,28,-0.5285,25,2,0.008,1,-0.5365,0.5445,"Hardy Ruoss: ""Die Botschaft hör' ich schon, aber mir fehlt nach der Lektüre der Glaube. Ich hab es mit der Linie Limo-Omo-Bravo von Iris Radisch versucht, aber noch näher war mir die Linie der Nimm2-Lakritze-Gummibärchen. Aber auch das war mir zu idyllisch und zu kalorienreich in meinem Alter. Wenn das aber so daherkommt, dann sehe ich meine TV-Sozialisation der 50er Jahre, und das tut alles nicht weh"", so Ruoss, und fügte noch hinzu, ""ein Ich, das so redet, das ist wirklich nur Kunst in Kunst in Kunst"" ."
7,524,7,92,Burkhard Spinnen,17,-0.7554000000000001,15,0,0,2,-0.7554000000000001,0.7554000000000001,"""Das sind sehr artifizielle Unternehmungen, das böse Mädchen, das ich schon kenne, zu beschreiben"", so Burkhard Spinnen. Die Autorin würde einen Versuch unternehmen, das Bewusstsein in eine nicht mehr vorhanden Vergangenheit zurückzuschrauben, und ""das ist die Bosheit von uns Dreißig- und Vierzigjährigen""."
8,525,0,,,22,-0.0584,21,0,0,1,-0.0584,0.0584,"Als vorletzter las der Schweizer Patrick Kokontis. Sein Text, ein Auszug aus dem Manuskript ""Entgleisungen"" zeigt einen Helden mit durchaus autobiografischen Bezügen, der sich mit der Diagnose Aids auseinandersetzen muss und während einer Zugsfahrt erkennt, dass das Leben auch weiterhin trivialer Alltag ist."
9,525,1,91,Denis Scheck,21,0.2038,20,1,0.2038,0,0,0.2038,"Denis Scheck habe zu Beginn große Hoffnungen gehabt, doch ""man kann beim Thema Aids eines Protagonisten nicht immer wieder über Zitate aus dem Film Peters Friends stolpern"". Die sprachlichen Ausdrücke ließen die Geschichten der Oberfläche bleiben, meinte Scheck abschließend."
